,timewindow_actor,timewindow_director,timewindow_genre,star_actor_num,star_director_num,params,score
183,10,3,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4299722867248181
184,10,3,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4295556153714253
185,10,3,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4316956531805858
186,10,3,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4279753669532163
187,10,3,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4248433902159807
188,10,3,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.424560270558801
189,10,5,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.418369655568288
190,10,5,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4222126627070684
191,10,5,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4259604417678513
192,10,5,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4252751141736821
193,10,5,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4194751614272167
194,10,5,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4255334753862186
195,10,5,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4240055412986936
196,10,5,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4197161410026815
197,10,5,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.430807612375462
198,10,5,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.419118272561256
199,10,5,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4204026414707007
200,10,5,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.41830779883549
201,10,5,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4163904909122342
202,10,5,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4170968952728173
203,10,5,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4149152089851833
204,10,5,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4194467597413494
205,10,5,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4164412989292579
206,10,5,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4177781344445415
207,10,5,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.41952133998532
208,10,5,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4207905714090063
209,10,5,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4210437570199959
210,10,5,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4213084933408329
211,10,5,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4238495605977348
212,10,5,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4254375918206823
213,10,5,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4222354412623333
214,10,5,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4212956352115782
215,10,5,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.42297366330613
216,10,10,3,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.419085829548439
217,10,10,3,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4177265660328633
218,10,10,3,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4283483503220336
219,10,10,3,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4162551309189653
220,10,10,3,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4155809648695177
221,10,10,3,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4195040647246349
